,initial run,soil run,Diff,ratio,cat
275,111.397,119.114,-7.716999999999999,0.9352133250499521,1
276,265.686,265.686,0.0,1.0,2
277,68.056,68.056,0.0,1.0,0
278,71.057,71.057,0.0,1.0,0
279,97.196,97.196,0.0,1.0,0
280,68.188,68.188,0.0,1.0,0
281,160.534,171.407,-10.873000000000019,0.9365661845782259,1
282,178.491,193.166,-14.674999999999983,0.9240290734394252,1
283,109.457,109.457,0.0,1.0,1
284,260.98,260.98,0.0,1.0,2
285,426.324,426.324,0.0,1.0,2
286,102.592,109.351,-6.759,0.938189865661951,1
287,111.036,111.46,-0.4239999999999924,0.9961959447335368,1
288,77.452,79.064,-1.6119999999999948,0.9796114540119397,0
289,103.445,103.445,0.0,1.0,1
290,137.536,137.93200000000002,-0.396000000000015,0.9971290200968592,1
291,138.486,138.486,0.0,1.0,1
292,295.648,303.199,-7.550999999999988,0.9750955642993546,2
293,200.616,200.981,-0.3649999999999807,0.9981839079315956,2
294,89.86200000000002,89.86200000000002,0.0,1.0,0
295,187.557,208.692,-21.13500000000002,0.8987263527111724,1
296,327.7990000000001,327.7990000000001,0.0,1.0,2
297,171.266,171.266,0.0,1.0,1
298,166.23,179.134,-12.903999999999996,0.9279645405115724,1
299,84.613,84.613,0.0,1.0,0
300,223.957,223.957,0.0,1.0,2
301,176.75,176.75,0.0,1.0,1
302,80.90100000000002,80.90100000000002,0.0,1.0,0
303,145.202,145.202,0.0,1.0,1
304,120.685,120.685,0.0,1.0,1
305,313.369,313.369,0.0,1.0,2
306,193.61900000000003,193.61900000000003,0.0,1.0,1
307,224.909,242.712,-17.802999999999997,0.9266496918158147,2
308,186.574,207.521,-20.946999999999974,0.8990608179413169,1
309,90.39,99.49,-9.099999999999994,0.9085335209568801,0
310,348.61300000000006,348.61300000000006,0.0,1.0,2
311,337.538,369.262,-31.72399999999999,0.9140881000482043,2
312,213.063,230.534,-17.471000000000004,0.9242150832415175,2
